StoreNumber,StoreName,StreetAddress,City,State,Zip,Manager,FirstAssistant,AreaName,AreaNumber,RegionName,RegionNumber,OpenYear,OpenMonth,OpenDay,Latitude,Longitude,Picture,Manager_Picture,No_Teldir_Update,Picture_Coming_Soon
82,LEWISTON,1408 Main St,Lewiston,ID,83501,Rik Warden,Brian Peterson,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,46.4176795,-117.0131368,082 Lewiston.jpg,,0,0
83,COEUR D'ALENE,2818 N Government Way,Coeur D Alene,ID,83815,Dwayne Glemser,Brandon Harris,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,47.7028400,-116.7857330,083 Coeur D Alene.jpg,,0,0
84,GRANGEVILLE,411 E Main St,Grangeville,ID,83530,Ken Conner,Lee Stebar,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,45.9248514,-116.1142363,084-Grangeville.jpg,,0,0
85,MOSCOW,1421 White Ave,Moscow,ID,83843,Rick Giddings,Will Walker,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,46.7227679,-116.9808805,085 Moscow.jpg,,0,0
86,OROFINO,302 Johnson Ave,Orofino,ID,83544,Jason Mechling,Brian Corder,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,46.4779913,-116.2524992,086-Orofino.jpg,,0,0
87,KELLOGG,15 E Cameron Ave,Kellogg,ID,83837,Tom Campbell,Brandon Benson,Northern Idaho/Montana,9,Eastern Region,3,1966,10,1,47.5381690,-116.1188210,087 Kellogg.jpg,,0,0
89,WEISER,250 E 1st St,Weiser,ID,83672,Dan Gluch,Jacob Braithwaite,Southern Idaho,10,Eastern Region,3,1971,3,1,44.2453388,-116.9684195,089 Weiser.jpg,,0,0
90,ST. MARIES,930 Main Ave,Saint Maries,ID,83861,Gary Gertje,Bryan Martin,Northern Idaho/Montana,9,Eastern Region,3,1969,10,9,47.3166016,-116.5697238,090-St. Maries.jpg,,0,0
91,NAMPA,133 Caldwell Blvd,Nampa,ID,83651,Lon Holloman,Christopher Steffey,Southern Idaho,10,Eastern Region,3,1971,11,1,43.5857000,-116.5747270,091-Nampa.jpg,,0,0
92,TWIN FALLS,421 Blue Lakes Blvd N,Twin Falls,ID,83301,Dave Cox,Jared Rorris,Southern Idaho,10,Eastern Region,3,1987,2,1,42.5691469,-114.4608305,092 Twin Falls.jpg,,0,0
93,HAYDEN LAKE,8820 N Commerce Dr,Hayden,ID,83835,Kenny Carver,Richard Howe,Northern Idaho/Montana,9,Eastern Region,3,1996,2,1,47.7523070,-116.7894410,093-Hayden-Lake.jpg,,0,0
94,JEROME,1848 S Lincoln Ave,Jerome,ID,83338,Mike Young,Jake Hansen,Southern Idaho,10,Eastern Region,3,2004,12,1,42.7055082,-114.5176621,094-Jerome.jpg,,0,0
